"","x"
"635",25
"636",10
"637",6
"638",23
"639",29
"640",NA
"641",54
"642",NA
"643",38
"644",49
"645",45
"646",8
"647",53
"648",30
"649",49
"650",31
"651",53
"652",56
"653",49
"654",20
"655",39
"656",20
"657",47
"658",41
"659",49
"660",46
"661",45
"662",41
"663",42
"664",43
"665",40
"666",49
"667",48
"668",47
"669",45
"670",46
"671",52
"672",56
"673",52
"674",49
"675",57
"676",47
"677",57
"678",60
"679",51
"680",65
"681",65
"682",61
"683",49
"684",49
"685",44
"686",NA
"687",52
"688",52
"689",52
"690",52
"691",53
"692",NA
"693",46
"694",52
"695",45
"696",52
"697",52
"698",52
"699",52
"700",51
"701",52
"702",52
"703",52
"704",53
"705",51
"706",51
"707",52
"708",47
"709",52
"710",54
"711",52
"712",46
"713",50
"714",NA
"715",53
"716",56
"717",NA
"718",48
"719",53
"720",45
"721",54
"722",54
"723",56
"724",47
"725",57
"726",51
"727",NA
"728",54
"729",46
"730",54
"731",42
"732",42
"733",NA
"734",24
"735",NA
"736",NA
"737",17
"738",40
"739",NA
"740",NA
"741",40
"742",40
"743",23
"744",35
"745",42
"746",NA
"747",40
"748",NA
"749",35
"750",48
"751",26
"752",46
"753",36
"754",48
"755",NA
"756",47
"757",43
"758",28
"759",23
"760",NA
"761",27
"762",NA
"763",NA
"764",NA
"765",NA
"766",26
"767",NA
"768",NA
"769",NA
"770",NA
"771",28
"772",32
"773",24
"774",21
"775",NA
"776",25
"777",NA
"778",24
"779",29
"780",21
"781",27
"782",8
"783",20
"784",19
"785",28
"786",25
"787",20
"788",NA
"789",16
"790",23
"791",23
"792",27
"793",NA
"794",20
"795",28
"796",25
"797",28
"798",16
"799",28
"800",27
"801",22
"802",19
"803",NA
"804",NA
"805",17
"806",20
"807",23
"808",19
"809",16
"810",18
"811",18
"812",14
"813",18
"814",20
"815",23
"816",NA
"817",31
"818",17
"819",25
"820",22
"821",28
"822",NA
"823",NA
"824",NA
"825",NA
"826",14
"827",NA
"828",NA
"829",NA
"830",NA
"831",23
"832",NA
"833",NA
"834",NA
"835",NA
"836",NA
"837",NA
"838",NA
"839",NA
"840",NA
"841",NA
"842",17
"843",15
"844",NA
"845",NA
"846",NA
"847",17
"848",NA
"849",17
"850",14
"851",NA
"852",NA
"853",NA
"854",16
"855",NA
"856",NA
"857",14
"858",NA
"859",NA
"860",6
"861",NA
"862",NA
"863",4
"864",NA
"865",0
"866",1
"867",5
"868",2
"869",1
"870",1
"871",1
"872",12
"873",1
"874",1
"875",0
"876",NA
"877",7
"878",NA
"879",NA
"880",9
"881",7
"882",11
"883",4
"884",0
"885",3
"886",6
"887",20
"888",5
"889",6
"890",8
"891",7
"892",10
"893",14
"894",17
"895",10
"896",19
"897",27
"898",21
"899",0
"900",2
"901",20
"902",6
"903",NA
"904",4
"905",5
"906",7
"907",NA
"908",14
"909",16
"910",14
"911",14
"912",NA
"913",NA
"914",13
"915",12
"916",NA
"917",17
"918",13
"919",17
"920",23
"921",9
"922",17
"923",NA
"924",16
"925",13
"926",12
"927",16
"928",16
"929",NA
"930",15
"931",22
"932",15
"933",15
"934",15
"935",15
"936",21
"937",17
"938",17
"939",21
"940",22
"941",10
"942",22
"943",15
"944",NA
"945",14
"946",22
"947",17
"948",15
"949",18
"950",17
"951",15
"952",NA
"953",21
"954",21
"955",21
"956",21
"957",13
"958",25
"959",22
"960",22
"961",16
"962",21
"963",19
"964",25
"965",20
"966",NA
"967",23
"968",21
"969",21
"970",19
"971",22
"972",22
"973",12
"974",17
"975",16
"976",18
"977",17
"978",16
"979",15
"980",15
"981",12
"982",12
"983",10
"984",15
"985",14
"986",12
"987",12
"988",13
"989",16
"990",13
"991",16
"992",12
"993",14
"994",14
"995",13
"996",15
"997",13
"998",15
"999",15
"1000",13
"1001",15
"1002",14
"1003",15
"1004",18
"1005",16
"1006",15
