"","V1","V2"
"417",40,8
"418",37,8
"419",37,9
"420",38,5
"421",38,6
"422",38,7
"423",37,5
"424",37,5
"425",36,6
"426",48,8
"427",36,5
"428",36,5
"429",37,6
"430",37,6
"431",36,6
"432",37,6
"433",37,6
"434",35,9
"435",37,6
"436",38,8
"437",39,14
"438",36,7
"439",37,12
"440",38,16
"441",37,15
"442",34,24
"443",36,20
"444",38,18
"445",36,16
"446",39,17
"447",37,8
"448",35,-4
"449",38,6
"450",38,6
"451",36,7
"452",36,18
"453",35,20
"454",42,12
"455",38,13
"456",38,8
"457",36,-4
"458",10,12
"459",11,12
"460",27,16
"461",32,13
"462",25,11
"463",20,11
"464",28,11
"465",15,13
"466",24,12
"467",14,14
"468",13,12
"469",-17,15
"470",3,13
"471",13,8
"472",0,14
"473",-14.32,14.73
"474",12,12
"475",8,14
"476",8,11
"477",12,10
"478",12,10
"479",10,12
"480",-1,17
"481",32,14
"482",15,13
"483",12,11
"484",11,11
"485",5,13
"486",9,12
"487",-13,22
"488",8,18
"489",10,25
"490",2,20
"491",0,16
"492",18,17
"493",-7,31
"494",3,32
"495",-15,22
"496",-1,19
"497",-15,18
"498",17,21
"499",-8,18
"500",26,29
"501",4,33
"502",-3,18
"503",31,17
"504",-5,20
"505",2,8
"506",6,23
"507",33,23
"508",-2,34
"509",-15.62,27.99
"510",2,31
"511",9,30
"512",2,35
"513",-5,35
"514",-8,33
"515",5,35
"516",28,30
"517",10.94,35
"518",33,25
"519",22,31
"520",10,37
"521",-4,35
"522",4,36
"523",-9,30
"524",31,30
"525",-7,33
"526",7,36
"527",-11,28
"528",20,42
"529",-7,42
"530",12,42
"531",-1,43
"532",14.25,40.89
"533",-6,37
"534",23,39
"535",-2,43
"536",-73,42
"537",28,-16
"538",-12.27,-37.11
"539",-46.64,-23.68
"540",-72,47
"541",7,53
"542",-20,64
"543",-9,53
"544",22,68
"545",5,50
"546",20,44
"547",26,45
"548",41,53
"549",56,54
"550",52,58
"551",53,57
"552",50,53
"553",26,59
